League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Australian A-League Men,2024-12-29,03:00:00,Western United,Brisbane Roar,1.93,1.96,3.75,3.95,4.3,4.6,2.72,3.0,1.5,1.58,1.44,1.61,2.34,2.86,23.0,27.0,21.0,23.0,30.0,34.0,16.0,70.0,13.5,15.0,9.6,10.5,15.0,16.5,32.0,38.0,14.0,15.5,9.8,10.5,14.0,16.0,32.0,38.0,21.0,24.0,15.5,17.0,22.0,24.0,48.0,60.0,7.2,8.0,21.0,24.0,18.5,410.0,33869925,24301731.0,3862627.0,58805.0,1.237253303,1.237253307,1.237253382,1.237253304,3.9,5.2,1.24,1.34,1.01,36.0,1.03,1.06,2.74,8.2,1.14,1.22,1.33,1.36,2.04,2.08,1.28,1.31,1.237253387,1.237253389,1.237253305,1.237253306
Portuguese Segunda Liga,2024-12-29,08:00:00,Penafiel,Benfica B,1.04,3.25,1.04,3.5,3.0,950.0,1.72,2.2,1.83,2.38,1.01,1000.0,1.01,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.03,1000.0,1.01,1000.0,1.01,1000.0,1.03,1000.0,33886729,505984.0,6563318.0,58805.0,1.237504886,1.237504931,1.237504970,1.237504895,2.68,4.0,1.01,1000.0,3.1,1000.0,1.01,1.47,3.1,4.9,1.25,1.47,1.4,26.0,1.45,26.0,1.01,1.5,1.237504887,1.237504889,1.237504890,1.237504934
Italian Serie A,2024-12-29,08:30:00,Udinese,Torino,2.32,2.38,3.8,3.95,3.15,3.2,1.59,1.61,2.62,2.7,2.16,2.22,1.81,1.87,8.2,8.4,10.0,11.0,22.0,24.0,70.0,90.0,7.2,7.6,6.8,7.2,15.5,16.0,50.0,60.0,11.5,12.5,11.0,11.5,22.0,24.0,70.0,85.0,28.0,32.0,27.0,32.0,50.0,60.0,46.0,200.0,27.0,32.0,65.0,90.0,24.0,1000.0,33871049,215821.0,44503.0,58805.0,1.237255159,1.237255143,1.237255158,1.237255168,2.48,3.15,1.47,1.8,7.8,9.2,1.12,1.15,2.8,2.92,1.53,1.55,1.34,1.36,1.72,1.76,1.45,1.47,1.237255161,1.237255163,1.237255164,1.237255146
Italian Serie B,2024-12-29,08:30:00,US Cremonese,Brescia,1.72,1.84,5.5,6.2,3.55,3.95,1.75,1.88,2.14,2.32,2.02,2.2,1.01,1.97,8.8,14.5,12.5,21.0,1.03,60.0,1.03,210.0,5.7,9.0,6.2,10.0,16.0,27.0,1.03,120.0,8.4,12.0,7.6,12.5,17.5,30.0,1.03,120.0,13.0,22.0,15.0,26.0,1.03,60.0,1.03,210.0,10.0,16.5,90.0,160.0,1.03,1000.0,33887990,10513040.0,7407.0,58805.0,1.237541408,1.237541453,1.237541492,1.237541417,2.54,3.65,1.38,1.65,3.85,1000.0,1.01,1.35,3.2,4.2,1.32,1.45,1.19,1.23,2.18,2.4,1.33,1.39,1.237541409,1.237541411,1.237541412,1.237541456
Thai League 1,2024-12-29,09:00:00,BG Pathumthani United,Buriram Utd,3.75,4.9,1.76,1.99,3.4,4.7,2.16,2.52,1.66,1.85,1.56,1.85,2.16,2.6,1.03,24.0,1.03,14.0,1.03,15.5,1.03,26.0,1.03,24.0,1.03,12.0,7.6,11.5,1.03,22.0,1.03,42.0,1.03,21.0,1.03,22.0,1.03,38.0,1.03,110.0,1.03,60.0,1.03,65.0,1.03,100.0,29.0,50.0,8.2,12.0,1.03,1000.0,33886039,23353035.0,7039295.0,58805.0,1.237498740,1.237498785,1.237498824,1.237498749,3.0,4.4,1.29,1.5,4.0,1000.0,1.01,1.08,4.0,6.2,1.19,1.33,2.0,2.32,1.25,1.34,1.27,1.36,1.237498741,1.237498743,1.237498744,1.237498788
English League 2,2024-12-29,09:30:00,Bromley,Swindon,1.97,1.99,3.9,4.1,3.9,4.2,2.06,2.38,1.73,1.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33886270,1282856.0,18570.0,58805.0,1.237498920,1.237498965,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
English League 2,2024-12-29,09:30:00,Carlisle,Accrington,2.28,2.44,3.15,3.5,3.5,3.7,1.83,2.04,1.97,2.22,1.01,1000.0,1.01,1000.0,9.2,1000.0,8.6,1000.0,15.0,1000.0,1.01,1000.0,6.4,14.0,5.0,10.5,8.6,1000.0,1.01,1000.0,9.2,1000.0,7.2,15.0,11.0,1000.0,1.01,1000.0,1.01,1000.0,17.5,1000.0,1.01,1000.0,1.01,1000.0,13.5,1000.0,1.01,1000.0,1.01,1000.0,33886285,18561.0,422179.0,58805.0,1.237498830,1.237498875,1.237498914,1.237498839,1.01,1000.0,1.01,1000.0,1.83,1000.0,1.01,2.22,1.83,1000.0,1.01,2.22,1.4,1.45,1.7,1.79,1.37,1.4,1.237498831,1.237498833,1.237498834,1.237498878
English League 1,2024-12-29,09:30:00,Rotherham,Stockport,2.94,3.2,2.52,2.7,3.4,3.55,1.74,1.94,2.06,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33884767,18565.0,47997.0,58805.0,1.237476930,1.237476940,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
English League 1,2024-12-29,09:30:00,Charlton,Wycombe,2.84,3.25,2.46,2.76,3.2,3.55,1.78,1.95,2.0,2.3,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,1.01,1000.0,33884761,48349.0,49584.0,58805.0,1.237477663,1.237477675,1.237477661,1.237477673,1.01,1000.0,1.01,1000.0,1.78,1000.0,1.01,2.3,1.78,1000.0,1.01,2.3,1.58,1.68,1.46,1.54,1.39,1.42,1.237477652,1.237477666,1.237477667,1.237477679
English Championship,2024-12-29,09:30:00,Sheff Utd,West Brom,2.14,2.18,4.1,4.4,3.3,3.4,1.67,1.76,2.32,2.5,2.0,2.14,1.88,2.0,9.2,10.0,12.0,13.0,19.0,30.0,38.0,110.0,7.2,8.0,7.2,7.4,16.0,18.0,55.0,65.0,10.5,11.5,10.0,11.0,20.0,23.0,36.0,95.0,22.0,25.0,22.0,26.0,42.0,50.0,44.0,180.0,18.5,21.0,36.0,100.0,60.0,1000.0,33884936,48470.0,1703.0,58805.0,1.237484723,1.237484733,1.237484722,1.237484732,0.0,0.0,0.0,0.0,8.8,12.5,1.1,1.12,3.1,3.3,1.44,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.237484727,1.237484737
