League,Date,Time,Rodada,Home,Away,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
Poland Ekstraklasa,2024-12-06,14:00:00,18,Radomiak Radom,GKS Katowice,2.88,2.25,3.5,2.23,3.47,3.04,1.33,3.25,0.0,0.0,0.0,0.0,1.65,2.0,1.57,2.25,0.0,0.0,0.0,1.25,1.25,1.51,1.48,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0
Croatia Prva HNL,2024-12-06,14:00:00,16,Dinamo Zagreb,Slaven Koprivnica,1.62,2.63,9.0,1.18,6.0,10.5,1.28,3.3,1.01,15.0,1.17,5.0,1.57,2.38,2.1,1.67,1.02,1.12,3.72,1.86,0.86,1.79,1.51,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2024-12-06,14:00:00,16,Amstetten,Voitsberg,2.6,2.25,3.5,1.91,3.6,3.3,1.3,3.25,1.01,13.0,1.18,4.5,1.61,2.1,1.62,2.2,1.33,1.2,1.78,1.88,1.14,1.65,1.45,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2024-12-06,14:00:00,16,Ried,SV Stripfing Weiden,1.73,2.5,7.5,1.22,5.0,9.0,1.24,3.7,1.01,17.0,1.17,4.75,1.55,2.2,2.0,1.73,1.03,1.09,3.6,1.86,0.57,1.4,1.06,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2024-12-06,14:00:00,16,St. Pölten,Floridsdorfer AC,2.4,2.1,4.75,1.7,3.5,4.4,1.4,2.75,1.0,8.3,1.33,3.2,1.94,1.82,1.91,1.8,1.18,1.22,1.95,1.0,1.0,1.35,1.27,2.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austria 2. Liga,2024-12-06,14:00:00,16,First Vienna,Liefering,3.0,2.3,3.0,2.3,3.4,2.63,1.3,3.25,1.01,13.0,1.18,4.5,1.55,2.2,1.53,2.38,1.5,1.22,1.5,1.5,1.86,1.17,1.44,2.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2024-12-06,14:00:00,15,Trabzonspor,Kasımpaşa,2.65,2.4,3.83,2.08,3.6,3.27,1.3,3.2,1.04,15.0,1.21,4.22,1.69,2.12,1.58,2.23,1.33,1.28,1.75,1.83,2.0,1.57,1.32,2.89,1.66,6.5,2.48,1.28,3.3,1.49,2.4,1.79,1.9,2.23,1.57,2.88,1.35
Germany 2. Bundesliga,2024-12-06,14:30:00,15,Paderborn,Schalke 04,2.3,2.35,4.0,1.91,3.7,3.6,1.27,3.45,1.04,10.0,1.18,4.5,1.53,2.25,1.53,2.4,1.2,1.2,1.95,2.33,0.86,1.5,1.18,2.68,1.58,6.75,2.55,1.25,3.45,1.44,2.55,1.72,1.98,2.12,1.63,2.65,1.41
Germany 2. Bundesliga,2024-12-06,14:30:00,15,Elversberg,Nürnberg,2.7,2.25,3.4,2.0,3.7,3.25,1.29,3.35,1.04,10.0,1.18,4.75,1.55,2.2,1.47,2.55,1.38,1.22,1.66,1.86,1.14,1.46,1.42,2.88,1.81,6.75,2.17,1.16,4.4,1.29,3.15,1.49,2.4,1.78,1.91,2.18,1.58
Italy Serie A,2024-12-06,14:30:00,15,Inter Milan,Parma,1.53,3.1,9.5,1.14,7.5,15.0,1.2,4.33,0.0,29.0,1.1,7.0,1.36,3.1,1.91,1.91,1.04,1.07,5.0,2.0,1.17,1.57,1.31,2.88,1.15,9.5,5.6,1.25,3.45,1.44,2.55,1.72,1.98,2.1,1.64,2.65,1.41
France Ligue 1,2024-12-06,15:00:00,14,Lille,Brest,2.3,2.2,5.5,1.62,3.8,5.0,1.4,2.75,1.05,12.0,1.32,3.4,1.88,1.92,1.95,1.8,1.17,1.22,2.25,1.83,0.5,1.36,1.36,2.72,1.42,6.75,3.3,1.49,2.4,1.82,1.86,2.32,1.53,3.05,1.32,4.0,1.18
Romania Liga I,2024-12-06,15:00:00,19,Sepsi,Rapid Bucureşti,3.25,2.2,3.25,2.43,3.27,2.84,1.4,2.75,1.06,8.0,1.26,3.6,1.84,1.91,1.67,2.1,1.35,1.29,1.41,1.56,1.22,1.46,1.43,2.89,1.66,6.4,2.5,1.54,2.25,1.92,1.75,2.48,1.45,3.3,1.27,4.4,1.15
Switzerland Challenge League,2024-12-06,15:30:00,17,Stade Nyonnais,Neuchâtel Xamax,3.25,2.3,2.75,3.13,3.45,2.17,1.33,3.25,1.0,8.3,1.19,4.4,1.62,2.25,1.53,2.38,1.53,1.25,1.3,0.88,1.5,1.63,1.66,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-12-06,16:00:00,18,Dordrecht,Telstar,2.55,2.3,3.4,2.1,3.8,3.1,1.25,3.5,1.01,13.0,1.15,5.25,1.5,2.55,1.42,2.6,1.36,1.22,1.7,2.0,1.33,2.0,1.64,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-12-06,16:00:00,18,VVV,Oss,2.5,2.35,4.0,1.95,3.75,3.6,1.29,3.3,1.02,15.0,1.2,4.33,1.66,2.2,1.6,2.3,1.3,1.22,1.9,0.44,0.5,1.65,1.04,2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-12-06,16:00:00,18,Volendam,AZ II,1.83,2.63,6.5,1.36,5.25,7.0,1.25,3.75,0.0,0.0,0.0,0.0,1.44,2.7,1.67,2.1,0.0,0.0,0.0,2.25,1.25,2.04,1.32,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-12-06,16:00:00,18,Helmond Sport,Den Bosch,2.7,2.2,3.45,2.2,3.5,3.1,1.33,3.1,1.04,10.0,1.22,4.2,1.67,2.15,1.5,2.35,1.36,1.25,1.65,1.56,1.63,1.56,1.24,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2024-12-06,16:00:00,18,MVV,Vitesse,2.6,2.3,3.75,2.0,3.4,3.75,1.33,3.25,0.0,0.0,0.0,0.0,1.7,2.1,1.57,2.25,0.0,0.0,0.0,1.5,1.0,1.68,1.36,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eredivisie,2024-12-06,16:00:00,15,PSV,Twente,1.91,2.63,5.5,1.4,4.75,7.0,1.22,4.0,1.01,21.0,1.14,5.31,1.5,2.4,1.57,2.25,1.1,1.15,2.8,3.0,1.86,2.46,1.72,4.18,1.41,9.5,3.56,1.19,4.0,1.35,2.9,1.57,2.2,2.0,1.73,2.38,1.5
France Ligue 2,2024-12-06,16:00:00,15,Rodez,Pau,2.88,2.25,3.6,2.15,3.3,3.2,1.36,3.0,1.05,9.5,1.25,3.75,1.81,1.98,1.67,2.1,1.36,1.22,1.66,1.17,0.71,1.89,1.4,3.29,1.74,6.4,2.23,1.3,3.15,1.52,2.32,1.86,1.82,2.33,1.5,3.05,1.32
France Ligue 2,2024-12-06,16:00:00,15,Annecy,Clermont,3.1,2.05,3.75,2.4,3.3,2.8,1.5,2.5,1.06,8.5,1.36,2.95,2.1,1.6,1.91,1.8,1.38,1.28,1.55,2.5,1.17,1.33,1.19,2.52,1.78,6.4,2.12,1.24,3.55,1.44,2.55,1.7,2.02,2.05,1.68,2.55,1.43
